YEAR,ROUND,LSEED,LTEAM,HSEED,HTEAM
2021,2,9,Missouri,1,Gonzaga
2021,2,13,Ohio,5,Creighton
2021,2,6,USC,3,Kansas
2021,2,7,Oregon,2,Iowa
2021,2,9,Saint Bonaventure,1,Michigan
2021,2,5,Colorado,4,Florida State
2021,2,14,Abilene Christian,11,UCLA
2021,2,10,Maryland,2,Alabama
2021,2,9,Wisconsin,1,Baylor
2021,2,13,North Texas,5,Villanova
2021,2,6,Texas Tech,3,Arkansas
2021,2,15,Oral Roberts,7,Florida
2021,2,8,Loyola Chicago,1,Illinois
2021,2,12,Oregon State,4,Oklahoma State
2021,2,11,Syracuse,3,West Virginia
2021,2,10,Rutgers,2,Houston