TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Weber State,BSky,29,17,106,106.6,0.4831,54.1,47.8,19,13.8,28.4,28.7,49.7,35.1,51.1,47,39.4,33.7,64.3,-6.9,R64,16,2014
Wisconsin,B10,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1,2015
Duke,ACC,39,35,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,Champions,1,2015
Kentucky,SEC,39,38,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,F4,1,2015
Villanova,BE,36,33,121.9,91.1,0.9663,55.3,45.5,16.3,21.6,32.5,31.2,41.8,30.4,53,45.3,38.9,30.5,64.7,11.3,R32,1,2015
Arizona,P12,38,34,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,9,E8,2,2015
Gonzaga,WCC,37,34,120.2,93.1,0.9498,57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,57,42,40,33,65.2,7.8,E8,2,2015
Virginia,ACC,34,30,112.1,84.1,0.9648,50.6,42.3,15.7,17.9,34.3,24.2,34.9,28.6,49.7,40.1,35.2,30.8,58.4,10,R32,2,2015
Kansas,B12,36,27,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9,R32,2,2015
Notre Dame,ACC,38,32,125.3,98.6,0.9401,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,58.2,47.4,39,32.6,63.9,8.6,E8,3,2015
Baylor,B12,33,23,116.3,92.7,0.9316,49.8,45.8,20.1,19.3,41.9,31.5,38.6,32.1,46.1,46.4,38.2,29.8,62.1,5,R64,3,2015
Iowa State,B12,34,25,116.9,95.6,0.9103,54.3,47.6,15.8,18.5,28.3,29.6,36.5,24,54.3,45.2,36.2,34.7,69.8,7,R64,3,2015
Oklahoma,B12,35,24,111.6,88.5,0.9349,49.3,44.1,17.6,19.7,31.5,31.4,32.8,28.4,48.2,42.2,34.3,31.7,67.5,4.5,S16,3,2015
Louisville,ACC,36,27,109.4,87.4,0.929,47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,48.4,43.3,30.7,30.3,65.6,5.8,E8,4,2015
Maryland,B10,35,28,110.2,94,0.8619,51.2,45.5,18.9,17.2,28.9,30.5,44.5,28.1,48,44.1,37.6,31.8,64.5,6.9,R32,4,2015
Georgetown,BE,33,22,112.6,93.5,0.8945,51.3,47.1,19.2,20.2,34.3,31,43.9,44.1,50.5,43.1,35.3,36.2,64.6,3.7,R32,4,2015
North Carolina,ACC,38,26,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40,31.2,35.2,37.8,50.9,45.6,35.8,30,69.9,6.5,S16,4,2015
Northern Iowa,MVC,35,31,115.4,93,0.9228,55.9,45.6,17.8,19.2,27,26.9,39.8,27,53.3,44,39.8,32.1,58.5,5.3,R32,5,2015
Arkansas,SEC,36,27,113.2,96,0.8696,50,48.3,16.9,22.3,35.7,34.6,37.3,38.8,48.8,46.2,34.9,35.2,69.9,3.9,R32,5,2015
West Virginia,B12,35,25,110.3,93.3,0.8733,46.1,52.7,18.7,28,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,68.6,4.1,S16,5,2015
Utah,P12,34,25,114.9,88.7,0.9513,55.2,43,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,S16,5,2015
Butler,BE,34,23,108.5,88.6,0.9115,48.4,46.7,17,19.5,34.7,25.3,40.8,33.4,46.3,47.1,35.6,30.7,63.9,3.5,R32,6,2015
SMU,Amer,33,26,111.1,94.6,0.8635,52.1,45.7,19.5,20.3,36.6,29.2,43.8,31.2,51.3,42.9,36.3,32.7,63.6,3.1,R64,6,2015
Providence,BE,34,22,111.6,93.7,0.8821,48.4,48.2,18.1,19.7,35.2,29,40.7,39.3,48.9,47.1,31.3,33.3,65.7,3.7,R64,6,2015
Xavier,BE,37,23,115.7,95.1,0.9049,53.3,50,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,65.5,1.3,S16,6,2015
Michigan State,B10,39,27,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,F4,7,2015
Iowa,B10,34,22,114,92,0.9211,48.1,45.6,17.1,18.9,35.6,30.3,38,29.1,47.3,43.7,33.3,32.6,64.6,2.1,R32,7,2015
VCU,A10,36,26,108.4,94,0.8373,48.7,49.5,15.7,23.5,31.8,30.6,37.3,37.8,46.9,48.3,34.3,34.5,67.2,3,R64,7,2015
Wichita State,MVC,34,29,114.3,91.5,0.9277,50.3,45.8,15,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,S16,7,2015
Cincinnati,Amer,34,23,106.5,92.3,0.838,49.5,44.1,21,19.9,37.3,32.3,37.1,26.1,49.6,42.2,32.9,31.9,60.3,-1.3,R32,8,2015
San Diego State,MWC,35,26,103.1,87.5,0.8691,46.6,43.5,18.6,21.1,35.7,29.7,36.2,25.7,45.9,42.3,32,30.6,61.2,1.3,R32,8,2015
Oregon,P12,35,25,114.3,99.1,0.8379,52.3,48,16.9,16.7,30.2,31.5,29.1,35.4,50.8,47.1,36.9,33.2,66.9,3,R32,8,2015
North Carolina State,ACC,36,22,114.1,96.8,0.8684,49.3,45.5,16,14.9,33.9,30.2,35.3,34.7,47.3,43.6,35.6,33,64.7,1.1,S16,8,2015
Purdue,B10,34,21,110.5,93.9,0.8654,50.3,45.4,19.9,17.6,36.5,30.9,41.7,38.4,50.9,42.3,32.7,35.1,65,1,R64,9,2015
Oklahoma State,B12,31,17,110.7,95.4,0.8469,50.2,46.5,18.5,21.1,26.9,32.6,39,42.1,49.2,44.1,34.6,34.4,64,0.2,R64,9,2015
Saint John's,BE,32,20,110.6,94.7,0.8569,49.3,46.4,15.7,19.5,27.6,35.4,35.7,33.3,48.2,44.9,34.5,32.6,67,2.3,R64,9,2015
LSU,SEC,33,22,107.8,92.8,0.8477,50.3,44.6,20.2,19.1,33.9,32.9,33.5,29.4,50.1,43.9,33.9,30.9,70.1,0.5,R64,9,2015
Ohio State,B10,35,24,113.9,93.1,0.9104,54.2,46.4,17,21.6,33.5,32,34.7,27.8,53.6,45.2,37,32.2,66.3,2.5,R32,10,2015
Davidson,A10,31,23,118.3,102.2,0.8435,55.4,49.3,14.1,17,29.6,30.4,28.5,34.6,53.1,51.4,38.7,30,67.2,1.7,R64,10,2015
Indiana,B10,34,20,119.5,103,0.8473,54.4,50.3,17.2,15.9,35.3,31.5,32.7,32.8,50.2,50.9,40.6,32.5,67.2,-0.3,R64,10,2015
Georgia,SEC,33,21,107.6,92.6,0.8482,48.5,44.4,19.2,16.7,32.2,28.5,47.7,34.3,47.2,43.2,34.2,31.2,64.8,1.6,R64,10,2015
Dayton,A10,36,27,107,94.5,0.8059,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,52.6,46.5,35.6,32.5,63.8,0.8,R32,11,2015
Texas,B12,34,20,110.3,90.7,0.9048,49.1,42.1,20.1,14,37.9,28.6,36.6,34.8,48.3,37.7,33.8,34.7,62.8,0.9,R64,11,2015
Mississippi,SEC,34,21,112.2,99.2,0.8037,47.8,47.6,16.5,18.7,34.8,31.4,36.1,41.2,46.8,43.6,33.2,35.8,66.6,-0.5,R64,11,2015
UCLA,P12,36,22,111.8,96.6,0.8425,49.6,48.5,17.6,17.9,33.8,28.6,35.7,32.3,47.4,45.4,36.8,35.6,66.8,0,S16,11,2015
Buffalo,MAC,33,23,109.1,98,0.7742,48.7,48.5,16.7,19.7,34.5,30.4,42.6,34.3,47.6,48,34.1,33,68.9,-1.3,R64,12,2015
Wyoming,MWC,33,23,102.1,98.2,0.6121,52.2,47,18.8,17.9,22,27,40.4,27,54.4,44,32.6,34.9,59.2,-1.6,R64,12,2015
Wofford,SC,33,26,102.3,96.8,0.6547,51.1,47,17.2,20,29.4,27.7,37.6,36.4,49.1,47.3,36.8,30.9,61.2,0.2,R64,12,2015
Stephen F. Austin,Slnd,31,26,111,98.8,0.7919,55.6,49,20.3,24.5,37.6,29.6,41.9,49.1,55.4,48.3,37.3,33.7,66.4,1.2,R64,12,2015
Eastern Washington,BSky,32,23,110.1,107.6,0.5648,55.1,52.3,15.9,17.8,29.3,30.7,35.2,36,52.2,49.2,39.3,38.7,68.5,-2.6,R64,13,2015
UC Irvine,BW,32,19,105.1,96.8,0.7202,50.7,44.7,18.2,17.2,30,30.7,30.2,35.3,47.8,42.4,38.2,33.6,63.9,-4.6,R64,13,2015
Valparaiso,Horz,31,25,105,94.5,0.7706,51.3,45.2,19,18.6,34.7,27.4,36.6,33.4,48,42.3,38.4,33.4,63.1,0.1,R64,13,2015
Harvard,Ivy,28,20,102.4,94.9,0.7057,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,45.5,44.5,34.3,34,61.6,-1.3,R64,13,2015
UAB,CUSA,35,19,102.7,100.1,0.5721,47.6,47.6,20.1,19.7,34.2,33.1,35.7,33.6,46.6,47.4,33.2,31.9,65.3,-7.5,R32,14,2015
Georgia State,SB,34,24,109.5,98,0.7802,52,45.8,16.3,23.2,30,34.8,37.7,39.8,53.4,43.1,32.2,33.1,63.2,-3,R32,14,2015
Albany,AE,33,24,104.9,102.2,0.5749,49.9,49.6,18.8,20.1,32.6,26,39,30.4,47.9,46.2,35.8,36.2,61.3,-3.3,R64,14,2015
Northeastern,CAA,35,23,107,101,0.6586,54.5,49.8,21.5,15.5,30.1,25.3,41.4,25,53,49.1,38.6,34.4,63.6,-4.6,R64,14,2015
Belmont,OVC,32,21,108.7,106.8,0.5497,56.5,51.3,20.3,18.5,28.9,29.6,32.2,28.2,56.4,51.2,37.7,34.3,67.6,-4.7,R64,15,2015
North Dakota State,Sum,31,21,100.8,100.7,0.5035,49.7,48.1,16,16.5,26.1,23.7,35.7,30.7,45.5,45,38.2,36.2,61.5,-3.9,R64,15,2015
Texas Southern,SWAC,35,22,101.9,108.1,0.3371,49.5,49.3,19.7,18.7,33.8,34.6,46.8,33.1,50,48.5,32.2,34.4,63.7,-4.5,R64,15,2015
New Mexico State,WAC,32,21,103.9,98.1,0.6613,50.6,46.4,21.8,20.6,39.3,31,44.3,32.5,49.3,46.4,36.2,30.8,64,-4.5,R64,15,2015
Coastal Carolina,BSth,30,20,104.5,103,0.5417,50,47.7,17.5,16.9,34.8,28,38.9,35,48.1,45.8,35.9,33.8,64.1,-5.1,R64,16,2015
Hampton,MEAC,35,17,94.8,102.3,0.2939,45.6,46.4,20.2,20.1,31.8,30.9,43.8,45.5,45.6,44.5,30.4,33.9,69.6,-12.6,R64,16,2015
Robert Morris,NEC,35,20,100.7,103.3,0.4286,50.1,49.3,19.8,21.8,31,35.9,35.5,37.6,47.4,48.3,37.5,34.1,66,-8.6,R64,16,2015
Lafayette,Pat,32,19,109.8,114.5,0.3839,55.8,53.5,17.1,16.8,27.7,34.5,30.4,27.5,52.8,51.5,40.8,38,65.1,-7.1,R64,16,2015
North Carolina,ACC,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1,2016
Virginia,ACC,37,29,119.9,91,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,E8,1,2016
Kansas,B12,37,32,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,E8,1,2016
Oregon,P12,37,30,118.4,96.2,0.9163,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,52.6,46.1,34.4,36.2,69,6.7,E8,1,2016
Villanova,BE,40,35,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,66.7,8.9,Champions,2,2016
Oklahoma,B12,37,29,118.2,94.1,0.9326,54.3,47.2,18.3,17.7,31.2,30.5,33,28.3,48.2,45.3,42.2,33.7,70.8,8,F4,2,2016
Xavier,BE,34,28,117,94.3,0.9229,51.4,47.8,17.4,19.3,35.2,26,41.7,33.6,49.8,48.6,36.3,31.1,72.4,7.7,R32,2,2016
Michigan State,B10,35,29,122.5,96,0.9428,56.3,43.3,17.6,14.2,37.1,24.3,30,34.1,51.4,41.7,43.4,31,67.6,7.2,R64,2,2016
Utah,P12,35,26,115.8,97.3,0.8807,55.1,48,18.2,15.3,29.2,27.8,37.9,23,55.5,44.5,36.3,37.1,66.9,5.6,R32,3,2016
West Virginia,B12,35,26,114.8,90.4,0.9396,49.8,48.4,20,25,42,27.1,46.2,55.3,50.3,47.7,32.5,33.1,70.9,7.4,R64,3,2016
Miami FL,ACC,35,27,119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,67,6.9,S16,3,2016
Iowa State,B12,35,23,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,S16,3,2016
Texas A&M,SEC,37,28,113,92.2,0.9126,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,68.4,5.2,S16,3,2016
Kentucky,SEC,36,27,123.2,95.1,0.9517,53.5,44.5,16.2,18,37.5,31.9,37.8,40.8,52.9,42.7,36.6,32.6,68.2,5,R32,4,2016
UC Berkeley,P12,34,23,112.4,92.8,0.9006,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,68.8,2.2,R64,4,2016
Duke,ACC,36,25,121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51,48.9,38.5,34,68.7,4.2,S16,4,2016
Purdue,B10,35,26,117.2,93.4,0.9316,53.6,44.3,17.7,13.7,35,23.4,35.4,28.1,52.8,42.9,36.7,31.4,68.9,4.4,R64,5,2016
Baylor,B12,33,21,119.3,99.2,0.8924,51.6,51.2,18.6,19.8,40,28.8,38.6,38.6,49.8,49.1,37.4,36.9,67.4,3.5,R64,5,2016
Indiana,B10,35,27,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49,41.6,34.3,69.5,3.2,S16,5,2016
Maryland,B10,35,26,114.9,96.3,0.8839,55.2,46.5,18.9,16.4,29.1,29.9,37,27,55.8,45.5,36.2,32.1,67.9,4,S16,5,2016
Notre Dame,ACC,36,24,118.3,103.3,0.8269,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,65.5,2.3,E8,6,2016
Texas,B12,33,20,112.2,95.6,0.8627,49.4,47.7,15.4,18.5,30.7,32,39.5,38.4,48.5,45.8,34.1,34.5,66.3,3.2,R64,6,2016
Seton Hall,BE,34,25,110.8,91.4,0.9014,49.8,45.4,19.4,19.5,34.7,30.8,40.4,33.8,48.8,44.3,34.7,31.7,70.4,5.3,R64,6,2016
Arizona,P12,34,25,116.1,95.7,0.9022,53.6,46.2,18.2,16,35,24.9,43.8,29.3,52.2,45.7,38.1,31.6,69.1,3.4,R64,6,2016
Iowa,B10,33,22,114.4,95.8,0.8853,51.3,48,14.8,18.8,31.9,31.3,33,25,48.7,48.7,37.4,31.3,69.8,2,R32,7,2016
Dayton,A10,33,25,105.5,92.6,0.8184,51.6,46.9,18.6,18,28.7,24.2,40.8,32.8,51.5,43.7,34.4,34.9,68.5,2.4,R64,7,2016
Oregon State,P12,31,18,109.9,98.1,0.788,49.8,49.5,16.6,19.5,29,32.2,36.8,39.3,46.9,50,37.4,32.4,68,0.3,R64,7,2016
Wisconsin,B10,35,22,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38,33.6,46.6,44.8,34.9,37.4,64.1,0.4,S16,7,2016
Saint Joseph's,A10,36,28,114.2,97.6,0.86,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25,52.3,49.2,32.7,31.1,70.9,3.4,R32,8,2016
Texas Tech,B12,32,19,113.1,98.9,0.8227,50,49.6,17.8,19,31.3,32.3,42.2,32.9,49.2,47.2,34.6,35.6,67.2,1.3,R64,8,2016
Colorado,P12,33,21,107.8,95.2,0.8072,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,69.9,0.7,R64,8,2016
USC,P12,34,21,113.7,98.7,0.8352,52.2,47.3,16.6,16.7,32.1,31.6,35.1,28.3,49.4,46.6,38.7,32.5,72.1,0.2,R64,8,2016
Connecticut,Amer,36,25,110.5,93.4,0.8732,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42,36.5,32.6,66.9,1.2,R32,9,2016
Butler,BE,33,22,118.2,98.6,0.8899,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,69.2,2,R32,9,2016
Providence,BE,35,24,108.7,95.4,0.8193,48,49.3,16.1,20.6,30.4,30.3,37.3,28,48,49.8,32.1,32.3,69.3,3.4,R32,9,2016
Cincinnati,Amer,33,22,110,93.5,0.866,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27,47.7,41.3,34.8,35.7,66,0.3,R64,9,2016
Syracuse,ACC,37,23,111.9,93.6,0.8857,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,65.5,-0.3,F4,10,2016
VCU,A10,36,25,112.1,94.2,0.8811,51,49.2,16.3,21.4,33.2,27.7,32.2,36.8,50.1,48.6,35.2,33.7,70.3,-0.1,R32,10,2016
Pittsburgh,ACC,32,20,113.9,96.9,0.8659,51.1,50,17.5,16.9,36.9,27.5,36.1,32.4,50.4,48.4,35,35.4,66.3,1.8,R64,10,2016
Temple,Amer,33,21,106.3,97.4,0.7318,47,46.4,13.8,16.2,29.1,29.7,26.6,28.7,44.9,46.3,33.7,31.2,66.5,-0.1,R64,10,2016
Northern Iowa,MVC,35,22,109.7,96.7,0.8109,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,51.3,48.9,37.2,32.4,63.7,-2.1,R32,11,2016
Wichita State,MVC,34,25,110.3,87.8,0.9321,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,66.8,0.2,R32,11,2016
Michigan,B10,35,22,113.4,99.4,0.82,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27,52.6,51.1,38,34.7,66.3,0.8,R64,11,2016
Gonzaga,WCC,35,27,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,S16,11,2016
Yale,Ivy,29,22,109.1,95.6,0.8209,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36,32.7,66.8,-0.1,R32,12,2016
Arkansas Little Rock,SB,33,28,107.6,96.7,0.7732,51.9,45.9,15.6,21,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,63.8,2.1,R32,12,2016
Chattanooga,SC,33,27,105.6,100.8,0.6286,51.7,50.5,18,20.2,32.3,29,41.6,30.9,50.7,50.5,35.6,33.7,67.3,0.4,R64,12,2016
South Dakota State,Sum,32,24,110.5,101.1,0.737,51.3,48,17.1,17.2,32.4,25.5,40.2,40.2,49.7,47.1,36.1,33.3,69.2,-1.2,R64,12,2016
Hawaii,BW,32,26,106.9,95,0.7945,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30,71.4,0.8,R32,13,2016
Stony Brook,AE,31,24,104.6,99.2,0.648,52.2,47.6,17.3,18.4,34.8,26,32.2,27.6,50.7,45.8,37.2,34.1,67.8,-1.1,R64,13,2016
UNC Wilmington,CAA,31,23,109.5,100.9,0.7186,51.2,47.5,15.9,19.9,32.1,30.1,35.6,55.2,51,46.1,34.4,33.9,71.3,-0.7,R64,13,2016
Iona,MAAC,33,22,109.1,102.1,0.6822,53.8,48.8,17.6,19.2,29.2,31,32.4,36.3,52.5,46,37,35.8,72.6,-3.6,R64,13,2016
Stephen F. Austin,Slnd,30,24,110.3,96.5,0.8235,54.8,49.5,17.7,25.9,33.5,30.7,34.3,40.2,54.5,49.7,36.9,32.8,68.2,-1.2,R32,14,2016
Green Bay,Horz,34,21,106.9,104.2,0.5729,49.8,51.5,15.8,21.1,30.9,32,42.2,35.8,48.5,50,35,36.3,77.3,-4.5,R64,14,2016
Buffalo,MAC,34,19,105.1,102.4,0.5746,49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,49,48.8,33.7,34.3,72.9,-5.8,R64,14,2016
Fresno State,MWC,33,23,106.3,100.1,0.6646,48.4,48.8,15.1,21,30,29.7,37.7,46.4,47,48.4,34.4,33,69.8,-0.9,R64,14,2016
Middle Tennessee,CUSA,33,23,103.9,99.5,0.6224,51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,47.8,48,39.2,34.7,68.5,-3.2,R32,15,2016
Weber State,BSky,32,23,101.7,99.5,0.5599,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,55.3,45.2,35.5,35.6,67.7,-3.7,R64,15,2016
UNC Asheville,BSth,32,20,101.2,99.4,0.5487,49.6,49.3,18.6,22.2,31.6,29.3,41.8,33,50.2,52.1,32.1,29.6,71,-6.3,R64,15,2016
Cal State Bakersfield,WAC,30,21,103.4,95.7,0.7106,49.3,45.2,18.2,21.5,34.1,29.7,38,42.1,48.5,42.8,34.3,33.4,68.4,-3.5,R64,15,2016
Florida Gulf Coast,ASun,31,17,102.9,102.4,0.5136,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,68,-8.4,R64,16,2016
Hampton,MEAC,31,20,98.2,107.5,0.2615,46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,47.3,47.5,30.5,33.8,71.9,-6.3,R64,16,2016
Austin Peay,OVC,34,16,103.4,109.1,0.3501,51.3,53.8,20.2,18.6,31.9,30,47,31.3,51,53.3,34.7,36.4,70.5,-11.3,R64,16,2016
